Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Retail Sales People,Product ID,Location ID,Returned,Sales,Quantity,Discount,Profit
1,CA-2016-152156,8/11/2016,11/11/2016,Second Class,CG-12520,Cassandra Brandow,FUR-BO-10001798,KY-Henderson-42420,Not,261.96,2,0.0,41.91
2,CA-2016-152156,8/11/2016,11/11/2016,Second Class,CG-12520,Cassandra Brandow,FUR-CH-10000454,KY-Henderson-42420,Not,731.94,3,0.0,219.58
3,CA-2016-138688,12/6/2016,12/6/2016,Second Class,DV-13045,Anna Andreadi,OFF-LA-10000240,CA-Los Angeles-90036,Not,14.62,2,0.0,6.87
4,US-2015-108966,11/10/2015,11/10/2015,Standard Class,SO-20335,Cassandra Brandow,FUR-TA-10000577,FL-Fort Lauderdale-33311,Not,957.58,5,0.45,-383.03
5,US-2015-108966,11/10/2015,11/10/2015,Standard Class,SO-20335,Cassandra Brandow,OFF-ST-10000760,FL-Fort Lauderdale-33311,Not,22.37,2,0.2,2.52
6,CA-2014-115812,9/6/2014,9/6/2014,Standard Class,BH-11710,Anna Andreadi,FUR-FU-10001487,CA-Los Angeles-90032,Not,48.86,7,0.0,14.17
7,CA-2014-115812,9/6/2014,9/6/2014,Standard Class,BH-11710,Anna Andreadi,OFF-AR-10002833,CA-Los Angeles-90032,Not,7.28,4,0.0,1.97
8,CA-2014-115812,9/6/2014,9/6/2014,Standard Class,BH-11710,Anna Andreadi,TEC-PH-10002275,CA-Los Angeles-90032,Not,907.15,6,0.2,90.72
9,CA-2014-115812,9/6/2014,9/6/2014,Standard Class,BH-11710,Anna Andreadi,OFF-BI-10003910,CA-Los Angeles-90032,Not,18.5,3,0.2,5.78
10,CA-2014-115812,9/6/2014,9/6/2014,Standard Class,BH-11710,Anna Andreadi,OFF-AP-10002892,CA-Los Angeles-90032,Not,114.9,5,0.0,34.47
11,CA-2014-115812,9/6/2014,9/6/2014,Standard Class,BH-11710,Anna Andreadi,FUR-TA-10001539,CA-Los Angeles-90032,Not,1706.18,9,0.2,85.31
12,CA-2014-115812,9/6/2014,9/6/2014,Standard Class,BH-11710,Anna Andreadi,TEC-PH-10002033,CA-Los Angeles-90032,Not,911.42,4,0.2,68.36
13,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Cassandra Brandow,OFF-PA-10002365,NC-Concord-28027,Not,15.55,3,0.2,5.44
14,CA-2016-161389,5/12/2016,10/12/2016,Standard Class,IM-15070,Anna Andreadi,OFF-BI-10003656,WA-Seattle-98103,Not,407.98,3,0.2,132.59
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Kelly Williams,OFF-AP-10002311,TX-Fort Worth-76106,Not,68.81,5,0.8,-123.86
16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Kelly Williams,OFF-BI-10000756,TX-Fort Worth-76106,Not,2.54,3,0.8,-3.82
17,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Kelly Williams,OFF-ST-10004186,WI-Madison-53711,Not,665.88,6,0.0,13.32
18,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Anna Andreadi,OFF-ST-10000107,UT-West Jordan-84084,Not,55.5,2,0.0,9.99
19,CA-2014-143336,8/27/2014,8/27/2014,Second Class,ZD-21925,Anna Andreadi,OFF-AR-10003056,CA-San Francisco-94109,Yes,8.56,2,0.0,2.48
20,CA-2014-143336,8/27/2014,8/27/2014,Second Class,ZD-21925,Anna Andreadi,TEC-PH-10001949,CA-San Francisco-94109,Yes,213.48,3,0.2,16.01
21,CA-2014-143336,8/27/2014,8/27/2014,Second Class,ZD-21925,Anna Andreadi,OFF-BI-10002215,CA-San Francisco-94109,Yes,22.72,4,0.2,7.38
22,CA-2016-137330,9/12/2016,12/13/2016,Standard Class,KB-16585,Kelly Williams,OFF-AR-10000246,NE-Fremont-68025,Not,19.46,7,0.0,5.06
23,CA-2016-137330,9/12/2016,12/13/2016,Standard Class,KB-16585,Kelly Williams,OFF-AP-10001492,NE-Fremont-68025,Not,60.34,7,0.0,15.69
24,US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Chuck Magee,FUR-CH-10002774,PA-Philadelphia-19140,Not,71.37,2,0.3,-1.02
25,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Anna Andreadi,FUR-TA-10000577,UT-Orem-84057,Not,1044.63,3,0.0,240.26
26,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Anna Andreadi,OFF-BI-10001634,CA-Los Angeles-90049,Not,11.65,2,0.2,4.22
27,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Anna Andreadi,TEC-AC-10003027,CA-Los Angeles-90049,Not,90.57,3,0.0,11.77
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Chuck Magee,FUR-BO-10004834,PA-Philadelphia-19140,Not,3083.43,7,0.5,-1665.05
29,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Chuck Magee,OFF-BI-10000474,PA-Philadelphia-19140,Not,9.62,2,0.7,-7.05
30,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Chuck Magee,FUR-FU-10004848,PA-Philadelphia-19140,Not,124.2,3,0.2,15.53
31,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Chuck Magee,OFF-EN-10001509,PA-Philadelphia-19140,Not,3.26,2,0.2,1.1
32,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Chuck Magee,OFF-AR-10004042,PA-Philadelphia-19140,Not,86.3,6,0.2,9.71
33,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Chuck Magee,OFF-BI-10001525,PA-Philadelphia-19140,Not,6.86,6,0.7,-5.72
34,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Chuck Magee,OFF-AR-10001683,PA-Philadelphia-19140,Not,15.76,2,0.2,3.55
35,CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Kelly Williams,OFF-PA-10000249,TX-Houston-77095,Not,29.47,3,0.2,9.95
36,CA-2016-117590,8/12/2016,10/12/2016,First Class,GH-14485,Kelly Williams,TEC-PH-10004977,TX-Richardson-75080,Not,1097.54,7,0.2,123.47
37,CA-2016-117590,8/12/2016,10/12/2016,First Class,GH-14485,Kelly Williams,FUR-FU-10003664,TX-Richardson-75080,Not,190.92,5,0.6,-147.96
38,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Kelly Williams,OFF-EN-10002986,TX-Houston-77041,Not,113.33,9,0.2,35.42
39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Kelly Williams,FUR-BO-10002545,TX-Houston-77041,Not,532.4,3,0.32,-46.98
40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Kelly Williams,FUR-CH-10004218,TX-Houston-77041,Not,212.06,3,0.3,-15.15
41,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Kelly Williams,TEC-PH-10000486,TX-Houston-77041,Not,371.17,4,0.2,41.76
42,CA-2017-120999,10/9/2017,10/9/2017,Standard Class,LC-16930,Kelly Williams,TEC-PH-10004093,IL-Naperville-60540,Not,147.17,4,0.2,16.56
43,CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Anna Andreadi,OFF-ST-10003479,CA-Los Angeles-90049,Not,77.88,2,0.0,3.89
44,CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Cassandra Brandow,OFF-ST-10003282,FL-Melbourne-32935,Not,95.62,2,0.2,9.56
45,CA-2016-118255,11/3/2016,11/3/2016,First Class,ON-18715,Kelly Williams,TEC-AC-10000171,MN-Eagan-55122,Not,45.98,2,0.0,19.77
46,CA-2016-118255,11/3/2016,11/3/2016,First Class,ON-18715,Kelly Williams,OFF-BI-10003291,MN-Eagan-55122,Not,17.46,2,0.0,8.21
47,CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Kelly Williams,OFF-ST-10001713,MI-Westland-48185,Not,211.96,4,0.0,8.48
48,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Chuck Magee,TEC-AC-10002167,DE-Dover-19901,Not,45.0,3,0.0,4.95
49,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Chuck Magee,TEC-PH-10003988,DE-Dover-19901,Not,21.8,2,0.0,6.1
50,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Kelly Williams,OFF-BI-10004410,IN-New Albany-47150,Not,38.22,6,0.0,17.96
51,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Kelly Williams,OFF-LA-10002762,IN-New Albany-47150,Not,75.18,6,0.0,35.33
52,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Kelly Williams,FUR-FU-10001706,IN-New Albany-47150,Not,6.16,2,0.0,2.96
53,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Kelly Williams,FUR-CH-10003061,IN-New Albany-47150,Not,89.99,1,0.0,17.1
54,CA-2016-105816,11/12/2016,12/17/2016,Standard Class,JM-15265,Chuck Magee,OFF-FA-10000304,NY-New York City-10024,Not,15.26,7,0.0,6.26
55,CA-2016-105816,11/12/2016,12/17/2016,Standard Class,JM-15265,Chuck Magee,TEC-PH-10002447,NY-New York City-10024,Not,1029.95,5,0.0,298.69
56,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Chuck Magee,OFF-ST-10000604,NY-Troy-12180,Yes,208.56,6,0.0,52.14
57,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Chuck Magee,OFF-PA-10001569,NY-Troy-12180,Yes,32.4,5,0.0,15.55
58,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Chuck Magee,FUR-CH-10003968,NY-Troy-12180,Yes,319.41,5,0.1,7.1
59,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Chuck Magee,OFF-PA-10000587,NY-Troy-12180,Yes,14.56,2,0.0,6.99
60,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Chuck Magee,TEC-AC-10002167,NY-Troy-12180,Yes,30.0,2,0.0,3.3
61,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Chuck Magee,OFF-BI-10001460,NY-Troy-12180,Yes,48.48,4,0.2,16.36
62,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Chuck Magee,OFF-AR-10001868,NY-Troy-12180,Yes,1.68,1,0.0,0.84
63,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Anna Andreadi,TEC-AC-10004633,CA-Los Angeles-90004,Not,13.98,2,0.0,6.15
64,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Anna Andreadi,OFF-BI-10001078,CA-Los Angeles-90004,Not,25.82,6,0.2,9.36
65,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Anna Andreadi,OFF-PA-10003892,CA-Los Angeles-90004,Not,146.73,3,0.0,68.96
66,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Anna Andreadi,FUR-FU-10000397,CA-Los Angeles-90004,Not,79.76,4,0.0,22.33
